Date,DayofWeek,Visitor,Home,HomeGameNum,DayNight,Attendance,HomeAllStar,VisitorAllStar,HomeWinPct,VisitorWinPct
20160421,Thu,HOU,TEX,16,N,25886,1,3,0.6,0.3333333333333333
20160421,Thu,LAN,ATL,15,D,18431,1,0,0.2857142857142857,0.6
20160421,Thu,CHN,CIN,16,N,16497,1,0,0.5333333333333333,0.7333333333333333
20160421,Thu,WAS,MIA,14,D,17395,1,0,0.3076923076923077,0.7857142857142857
20160421,Thu,MIN,MIL,16,D,30107,0,0,0.4666666666666667,0.26666666666666666
20160421,Thu,PIT,SDN,16,N,20387,0,1,0.4,0.4666666666666667
20160421,Thu,ARI,SFN,17,D,41052,0,2,0.4375,0.5
20160422,Fri,SEA,ANA,17,N,40755,0,1,0.4375,0.4666666666666667
20160422,Fri,TEX,CHA,17,N,15486,0,1,0.625,0.625
20160422,Fri,CLE,DET,15,N,25086,1,5,0.5714285714285714,0.46153846153846156
20160422,Fri,BOS,HOU,17,N,26672,3,6,0.3125,0.4666666666666667
20160422,Fri,BAL,KCA,16,N,29546,0,3,0.6666666666666666,0.7142857142857143
20160422,Fri,TBA,NYA,15,N,31843,0,0,0.35714285714285715,0.4666666666666667
20160422,Fri,OAK,TOR,18,N,34251,3,0,0.47058823529411764,0.5625
20160422,Fri,PIT,ARI,18,N,27829,2,1,0.5294117647058824,0.5
20160422,Fri,NYN,ATL,16,N,21173,1,0,0.26666666666666666,0.5
20160422,Fri,CHN,CIN,17,N,25940,1,0,0.5,0.75
20160422,Fri,LAN,COL,16,N,37153,4,0,0.5333333333333333,0.625
20160422,Fri,PHI,MIL,17,N,23439,0,1,0.4375,0.4375
20160422,Fri,SLN,SDN,17,N,30074,0,0,0.375,0.5333333333333333
20160422,Fri,MIA,SFN,18,N,41760,0,1,0.4117647058823529,0.35714285714285715
20160422,Fri,MIN,WAS,16,N,27684,0,0,0.7333333333333333,0.3125
20160423,Sat,SEA,ANA,18,N,41058,0,1,0.4117647058823529,0.5
20160423,Sat,TEX,CHA,18,D,20182,0,1,0.6470588235294118,0.5882352941176471
20160423,Sat,CLE,DET,16,D,31163,1,5,0.5333333333333333,0.5
20160423,Sat,BOS,HOU,18,D,40232,3,6,0.29411764705882354,0.5
